,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,producto_costo_unitario
178,PRINCIPAL COTA,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
179,SUCURSAL BARRANQUILLA,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
180,SUCURSAL BUCARAMANGA,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
181,SUCURSAL CALI,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
182,SUCURSAL CALLE 6,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
183,SUCURSAL MEDELLIN,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
184,SUCURSAL NORTE,AHR85W14030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,11872.73
185,SUCURSAL VALLADOLID,AHR85W14030,2025.0,2025-09-09 00:00:00,37,1.0,0.2,1.0,0.0,0.0,11872.73
186,PRINCIPAL COTA,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
187,SUCURSAL BARRANQUILLA,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
188,SUCURSAL BUCARAMANGA,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
189,SUCURSAL CALI,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
190,SUCURSAL CALLE 6,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
191,SUCURSAL MEDELLIN,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
192,SUCURSAL NORTE,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
193,SUCURSAL VALLADOLID,AHTNT068030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,3542826.0
194,PRINCIPAL COTA,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
195,SUCURSAL BARRANQUILLA,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
196,SUCURSAL BUCARAMANGA,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
197,SUCURSAL CALI,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
198,SUCURSAL CALLE 6,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
199,SUCURSAL MEDELLIN,ALB01350030,2025.0,2025-09-09 00:00:00,37,0.0,0.0,0.0,0.0,0.0,240896.0
