,store_name,product_ref,año,Semana,semana_num,num_facturas,EMA,demanda_ajustada,desviacion_ema%,coef_ventas,lost_sales,producto_costo_unitario
139,SUCURSAL CALI,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
140,SUCURSAL CALLE 6,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
141,SUCURSAL MEDELLIN,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
142,SUCURSAL NORTE,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,11872.73
143,SUCURSAL VALLADOLID,AHR85W14030,2025.0,2025-09-23 00:00:00,39,0.0,0.128222,0.0,1.17,23.0,0.0,11872.73
144,PRINCIPAL COTA,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
145,SUCURSAL BARRANQUILLA,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
146,SUCURSAL BUCARAMANGA,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
147,SUCURSAL CALI,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
148,SUCURSAL CALLE 6,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
149,SUCURSAL MEDELLIN,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
150,SUCURSAL NORTE,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
151,SUCURSAL VALLADOLID,AHTNT068030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,3542826.0
152,PRINCIPAL COTA,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
153,SUCURSAL BARRANQUILLA,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
154,SUCURSAL BUCARAMANGA,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
155,SUCURSAL CALI,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
156,SUCURSAL CALLE 6,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
157,SUCURSAL MEDELLIN,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
158,SUCURSAL NORTE,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
159,SUCURSAL VALLADOLID,ALB01350030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,240896.0
160,PRINCIPAL COTA,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
161,SUCURSAL BARRANQUILLA,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
162,SUCURSAL BUCARAMANGA,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
163,SUCURSAL CALI,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
164,SUCURSAL CALLE 6,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
165,SUCURSAL MEDELLIN,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
166,SUCURSAL NORTE,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
167,SUCURSAL VALLADOLID,ALB115W4050,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,198000.0
168,PRINCIPAL COTA,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.960043,0.0,0.44,4.3125,0.0,447485.45
169,SUCURSAL BARRANQUILLA,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,447485.45
170,SUCURSAL BUCARAMANGA,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,447485.45
171,SUCURSAL CALI,ALB15W40030,2025.0,2025-09-23 00:00:00,39,0.0,0.0,0.0,0.0,0.0,0.0,447485.45
